OID_,block_vtda,state,Shape_Length,Shape_Area,ID,OBJECTID,Join_Count,TARGET_FID,ID_1,DISTRICT,POPULATION,sld_u22,Shape_Length_1,Shape_Area_1
1564,35045000044,35,0.088420795794448,0.000276945754500,1563,1564,1,1564,12,2,47318,35002,2.910850179561819,0.224440330284999
1565,35045000045,35,0.052349561076635,0.000132691739000,1564,1565,1,1565,1,1,47068,35001,1.544650114391072,0.043527367594502
1566,35045000046,35,0.093891938419669,0.000443584256500,1565,1566,1,1566,1,1,47068,35001,1.544650114391072,0.043527367594502
1567,35045000047,35,0.276773891459764,0.002505070656500,1566,1567,1,1567,12,2,47318,35002,2.910850179561819,0.224440330284999
1568,35045000048,35,0.149135866833718,0.001103054751500,1567,1568,1,1568,12,2,47318,35002,2.910850179561819,0.224440330284999
1569,35045000049,35,0.057314488993269,0.000157700722500,1568,1569,1,1569,1,1,47068,35001,1.544650114391072,0.043527367594502
1570,35045000050,35,0.132841749093496,0.000461180968500,1569,1570,1,1570,1,1,47068,35001,1.544650114391072,0.043527367594502
1571,35045000051,35,0.122490534479586,0.000489930390500,1570,1571,1,1571,1,1,47068,35001,1.544650114391072,0.043527367594502
1572,35045000052,35,0.179457521632574,0.000626681668000,1571,1572,1,1572,1,1,47068,35001,1.544650114391072,0.043527367594502
1573,35045000053,35,0.084099916509197,0.000243957761000,1572,1573,1,1573,1,1,47068,35001,1.544650114391072,0.043527367594502
1574,35045000054,35,0.207580359824744,0.000967384761500,1573,1574,1,1574,12,2,47318,35002,2.910850179561819,0.224440330284999
1575,35045000055,35,0.185244058242443,0.001866822270000,1574,1575,1,1575,12,2,47318,35002,2.910850179561819,0.224440330284999
1576,35045000056,35,0.095403988392954,0.000452298325500,1575,1576,1,1576,1,1,47068,35001,1.544650114391072,0.043527367594502
1577,35045000057,35,0.184482443401382,0.000879954636500,1576,1577,1,1577,12,2,47318,35002,2.910850179561819,0.224440330284999
1578,35045000058,35,0.380521354240591,0.005942902843000,1577,1578,1,1578,12,2,47318,35002,2.910850179561819,0.224440330284999
1579,35045000059,35,1.528028398864227,0.066201751172998,1578,1579,1,1579,23,3,47240,35003,8.518162176062154,0.751500889506999
1580,35045000060,35,0.630723843761475,0.017687494831999,1579,1580,1,1580,12,2,47318,35002,2.910850179561819,0.224440330284999
1581,35045000061,35,0.717923376746062,0.016875396131500,1580,1581,1,1581,12,2,47318,35002,2.910850179561819,0.224440330284999
1582,35045000062,35,0.156264616511866,0.000579334019000,1581,1582,1,1582,12,2,47318,35002,2.910850179561819,0.224440330284999
1583,35045000063,35,0.076375308998125,0.000181537920500,1582,1583,1,1583,12,2,47318,35002,2.910850179561819,0.224440330284999
1584,35045000064,35,0.301891469420883,0.003384134899500,1583,1584,1,1584,12,2,47318,35002,2.910850179561819,0.224440330284999
1585,35045000065,35,1.080394500558619,0.032467480018999,1584,1585,1,1585,12,2,47318,35002,2.910850179561819,0.224440330284999
1586,35045000066,35,0.083462106485242,0.000302734653500,1585,1586,1,1586,12,2,47318,35002,2.910850179561819,0.224440330284999
1587,35045000067,35,0.230961465872111,0.002481782541500,1586,1587,1,1587,12,2,47318,35002,2.910850179561819,0.224440330284999
1588,35045000068,35,0.311766265173122,0.003558265208500,1587,1588,1,1588,12,2,47318,35002,2.910850179561819,0.224440330284999
1589,35045000069,35,0.235141996571181,0.001536711769000,1588,1589,1,1589,12,2,47318,35002,2.910850179561819,0.224440330284999
1590,35045000070,35,0.212700254052990,0.002633689072000,1589,1590,1,1590,12,2,47318,35002,2.910850179561819,0.224440330284999
1591,35045000071,35,1.236481655672401,0.077268629046499,1590,1591,1,1591,15,22,49066,35022,13.039145162355252,2.844550826013508
1592,35045000072,35,1.840040570275479,0.075269292373499,1591,1592,1,1592,12,2,47318,35002,2.910850179561819,0.224440330284999
1593,35045000073,35,0.327367596657879,0.003421483379000,1592,1593,1,1593,12,2,47318,35002,2.910850179561819,0.224440330284999
1594,35045000074,35,0.238755517692298,0.002171274653000,1593,1594,1,1594,12,2,47318,35002,2.910850179561819,0.224440330284999
1595,35045000075,35,0.145926515321194,0.000571134222500,1594,1595,1,1595,12,2,47318,35002,2.910850179561819,0.224440330284999
1596,35045000076,35,0.270880200487872,0.003091962174500,1595,1596,1,1596,12,2,47318,35002,2.910850179561819,0.224440330284999
1597,35045000077,35,0.406941666073337,0.003222360958500,1596,1597,1,1597,15,22,49066,35022,13.039145162355252,2.844550826013508
1598,35045000078,35,0.293526643686523,0.002312675902000,1597,1598,1,1598,12,2,47318,35002,2.910850179561819,0.224440330284999
1599,35045000079,35,0.130867018112629,0.000751999584500,1598,1599,1,1599,12,2,47318,35002,2.910850179561819,0.224440330284999
