,block_vtda,total,nh_black,weighted_blk_sl_dist
913,51087000211,1590,1270,46784.275500269214
914,51087000212,1307,489,36829.04773375961
915,51087000213,2904,1280,81113.50157839005
916,51087000214,2609,862,73204.9136032029
917,51087000215,3667,3140,109809.57905862121
918,51087000216,1563,329,44019.73600397145
919,51087000217,1384,283,38377.62193872373
920,51087000218,474,131,13199.794885095407
921,51087000219,409,225,11316.655110224645
922,51087000220,5231,4266,156261.5328937595
923,51087000221,730,113,20829.756737251166
924,51087000222,2317,1428,67134.38923333827
925,51087000223,5470,1686,152832.21073659742
926,51087000224,1943,1821,57262.561416460754
927,51087000301,4241,410,104581.21349605772
928,51087000302,3381,200,88379.4660606356
929,51087000303,5130,396,134155.47717257176
930,51087000304,2721,269,73217.25075980232
931,51087000305,4808,115,116712.11822445806
932,51087000306,4901,399,126591.50330540974
933,51087000307,2474,279,67616.94909543605
934,51087000308,5487,206,141129.93071929892
935,51087000309,5843,351,148073.2875777791
936,51087000310,5070,213,125401.88497595147
937,51087000311,3481,144,86895.46919736726
938,51087000312,3520,592,93931.16742540992
939,51087000313,6552,301,164306.13338269977
940,51087000314,4543,407,125594.75558932431
941,51087000315,8405,2090,227097.84152081437
942,51087000316,5038,581,127998.09593650294
943,51087000401,4123,509,109499.10287593916
944,51087000402,4114,363,115886.377577079
945,51087000403,2409,28,65528.905538119376
946,51087000404,2316,48,64211.12232384439
947,51087000405,3988,153,100931.23267164342
948,51087000406,3015,115,78539.39438767965
949,51087000407,3099,282,77538.18279599014
950,51087000408,4185,889,102615.48701363022
951,51087000409,3456,376,93038.3585826069
952,51087000410,2013,2,53309.7783336884
953,51087000411,5220,917,141048.09718364215
954,51087000412,5377,701,143542.59997890846
955,51087000413,4750,245,120566.86365853244
956,51087000414,2501,11,70100.42791530832
957,51087000415,2838,324,79008.14717883182
958,51087000416,1428,49,39596.255095314526
959,51087000417,4836,55,135445.18495597914
960,51087000418,3182,634,82849.4967862193
961,51087000419,3568,292,87563.53185920767
962,51087000501,2336,223,78623.15735771353
963,51087000502,1856,1265,57041.57380066933
964,51087000503,3534,1249,112420.45001804625
965,51087000504,3267,1511,106091.62203888752
966,51087000505,3673,1653,126010.74040401049
967,51087000506,4584,2542,145108.96221848755
968,51087000507,933,80,31874.145113629267
969,51087000508,3871,2715,122578.38284490335
970,51087000509,3972,2307,126052.63268488018
971,51087000510,2789,1607,97080.14815750509
972,51087000511,6625,4688,204641.31737562336
973,51087000512,2305,1133,71921.8267083854
974,51087000513,5378,4357,167604.41775898123
975,51087000514,4865,3935,156100.8354413548
976,51087000515,3423,615,111265.21560832928
977,51087000516,4973,3143,159853.0205758721
978,51087000517,1240,240,44055.39966164756
979,51087000518,2765,765,98102.2778466265
980,51089000101,1340,299,18408.76098095122
981,51089000102,2630,128,35595.549009129296
982,51089000103,3843,396,52556.76632507078
983,51089000201,1555,345,21902.593053842756
984,51089000202,2393,565,34236.6896395188
985,51089000203,1906,1101,27805.03559308743
986,51089000204,2355,357,33191.87194861534
987,51089000302,1606,549,25050.48396059978
988,51089000303,3089,884,47516.11643343708
