geoid,block_vtda,total
350010001235018,35001000471,30
350010001235019,35001000472,40
350010001241000,35001000411,23
350010001241001,35001000411,628
350010001242000,35001000413,327
350010001242001,35001000413,0
350010001242002,35001000413,0
350010001242003,35001000413,543
350010001243000,35001000416,72
350010001243001,35001000416,35
350010001243002,35001000416,51
350010001243003,35001000416,64
350010001243004,35001000416,41
350010001243005,35001000417,130
350010001243006,35001000417,52
350010001243007,35001000417,64
350010001243008,35001000417,63
350010001243009,35001000417,67
350010001243010,35001000417,0
350010001244000,35001000416,33
350010001244001,35001000416,48
350010001244002,35001000416,55
350010001244003,35001000416,66
350010001244004,35001000416,94
350010001244005,35001000416,74
350010001244006,35001000416,58
350010001244007,35001000417,43
350010001244008,35001000417,97
350010001244009,35001000417,78
350010001244010,35001000417,122
350010001244011,35001000417,45
350010001244012,35001000417,61
350010001244013,35001000417,93
350010001244014,35001000417,25
350010001244015,35001000417,187
350010001244016,35001000417,0
350010001251000,35001000309,168
350010001251001,35001000309,14
350010001251002,35001000309,38
350010001251003,35001000309,86
350010001251004,35001000309,193
350010001251005,35001000309,70
350010001251006,35001000309,73
350010001251007,35001000309,86
350010001251008,35001000309,44
350010001251009,35001000309,90
350010001251010,35001000309,45
350010001251011,35001000302,59
350010001251012,35001000302,38
350010001251013,35001000309,31
350010001251014,35001000302,30
350010001251015,35001000302,27
350010001251016,35001000309,57
350010001251017,35001000302,55
350010001251018,35001000302,38
350010001251019,35001000302,65
350010001251020,35001000302,0
350010001252000,35001000304,212
350010001252001,35001000304,43
350010001252002,35001000304,24
350010001252003,35001000304,47
350010001252004,35001000304,29
350010001252005,35001000304,76
350010001252006,35001000304,67
350010001252007,35001000550,204
350010001252008,35001000550,37
350010001252009,35001000550,65
350010001252010,35001000550,21
350010001252011,35001000550,46
350010001252012,35001000550,42
350010001252013,35001000550,73
350010001252014,35001000550,29
350010001252015,35001000550,2
350010001252016,35001000304,98
350010001252017,35001000550,69
350010001252018,35001000550,40
350010001252019,35001000550,43
350010001252020,35001000550,42
350010001252021,35001000304,49
350010001252022,35001000550,62
350010001252023,35001000550,52
350010001252024,35001000550,76
350010001252025,35001000550,22
350010001253000,35001000307,46
350010001253001,35001000307,65
350010001253002,35001000307,32
350010001253003,35001000307,61
350010001253004,35001000307,39
350010001253005,35001000307,54
350010001253006,35001000307,51
350010001253007,35001000393,39
350010001253008,35001000393,213
350010001253009,35001000393,76
350010001253010,35001000393,44
350010001253011,35001000393,31
350010001253012,35001000548,85
350010001253013,35001000548,17
350010001253014,35001000307,56
350010001253015,35001000307,28
350010001253016,35001000307,30
350010001253017,35001000307,37
350010001253018,35001000307,44
350010001253019,35001000393,81
350010001261000,35001000393,0
350010001261001,35001000549,380
350010001261002,35001000549,55
350010001261003,35001000549,0
350010001261004,35001000549,212
350010001261005,35001000549,131
350010001261006,35001000549,60
350010001261007,35001000549,348
350010001261008,35001000549,30
350010001261009,35001000549,58
350010001261010,35001000549,29
350010001261011,35001000549,58
350010001261012,35001000549,59
350010001262000,35001000547,29
350010001262001,35001000547,48
350010001262002,35001000547,46
350010001262003,35001000547,67
350010001262004,35001000547,57
350010001262005,35001000547,98
350010001262006,35001000547,57
350010001262007,35001000546,27
350010001262008,35001000546,67
350010001262009,35001000546,70
350010001262010,35001000546,121
350010001262011,35001000546,138
350010001262012,35001000546,43
350010001262013,35001000546,86
350010001262014,35001000546,81
350010001262015,35001000546,58
350010001262016,35001000546,93
350010001262017,35001000546,26
350010001262018,35001000546,153
350010001271000,35001000535,25
350010001271001,35001000535,45
350010001271002,35001000535,64
350010001271003,35001000535,42
350010001271004,35001000535,96
350010001271005,35001000535,47
350010001271006,35001000536,41
350010001271007,35001000536,66
350010001271008,35001000535,51
350010001271009,35001000535,89
350010001271010,35001000536,107
350010001271011,35001000536,53
350010001272000,35001000535,20
350010001272001,35001000535,102
350010001272002,35001000535,72
350010001272003,35001000535,133
350010001272004,35001000535,84
350010001272005,35001000536,60
350010001272006,35001000536,78
350010001272007,35001000536,104
350010001272008,35001000536,50
350010001272009,35001000536,47
350010001272010,35001000536,44
350010001272011,35001000534,48
350010001272012,35001000534,84
350010001272013,35001000535,63
350010001273000,35001000534,391
350010001273001,35001000534,29
350010001273002,35001000534,43
350010001273003,35001000534,67
350010001273004,35001000534,25
350010001273005,35001000534,81
350010001273006,35001000534,15
350010001273007,35001000534,9
350010001273008,35001000534,65
350010001273009,35001000534,65
350010001273010,35001000534,78
350010001273011,35001000534,27
350010001273012,35001000534,19
350010001273013,35001000534,36
350010001273014,35001000534,92
