,block_vtda,DISTRICT
1008,35017000008,28
1009,35017000009,28
1010,35017000010,35
1011,35017000011,28
1012,35017000012,28
1013,35017000013,28
1014,35017000014,28
1015,35017000015,28
1016,35017000016,28
1017,35017000017,28
1018,35017000018,28
1019,35017000019,28
1020,35017000020,28
1021,35017000021,28
1022,35017000022,28
1023,35017000023,28
1024,35017000024,28
1025,35017000025,28
1026,35017000026,28
1027,35017000027,28
1028,35017000028,28
1029,35017000029,28
1030,35017000030,28
1031,35017000031,28
1032,35017000032,28
1033,35017000033,28
1034,35017000034,28
1035,35017000035,35
1036,35017000036,28
1037,35017000037,28
1038,35017000038,28
1039,35017000039,28
1040,35019000001,8
1041,35019000002,8
1042,35019000003,8
1043,35019000004,8
1044,35019000005,8
1045,35021000001,8
1046,35021000002,8
1047,35021000003,7
1048,35023000001,28
1049,35023000002,28
1050,35023000003,28
1051,35023000004,35
1052,35023000005,28
1053,35023000006,28
1054,35025000002,27
1055,35025000003,27
1056,35025000009,41
1057,35025000010,42
1058,35025000011,41
1059,35025000012,41
1060,35025000013,42
1061,35025000014,41
1062,35025000015,41
1063,35025000016,41
1064,35025000017,41
1065,35025000018,42
1066,35025000019,42
1067,35025000020,42
1068,35025000021,42
1069,35025000022,42
1070,35025000023,42
1071,35025000024,42
1072,35025000025,42
1073,35025000026,42
1074,35025000027,42
1075,35025000028,42
1076,35025000029,42
1077,35025000030,42
1078,35025000031,41
1079,35025000032,41
1080,35025000033,42
1081,35025000034,41
1082,35025000035,41
1083,35025000036,41
1084,35025000041,42
1085,35025000042,42
1086,35025000043,42
1087,35025000044,42
1088,35025000051,41
1089,35025000052,41
1090,35025000053,41
1091,35025000054,41
1092,35025000055,41
1093,35025000056,42
1094,35025000057,42
1095,35025000058,41
1096,35025000059,41
1097,35025000061,41
1098,35025000062,41
1099,35025000071,41
1100,35025000072,41
1101,35025000073,41
1102,35025000074,41
1103,35027000001,33
1104,35027000002,33
1105,35027000003,33
1106,35027000004,33
1107,35027000005,33
1108,35027000006,33
1109,35027000007,33
1110,35027000008,33
1111,35027000009,33
1112,35027000010,33
1113,35027000011,33
1114,35027000012,33
1115,35027000013,33
1116,35027000014,33
1117,35027000015,33
1118,35027000016,33
1119,35027000017,33
1120,35027000018,33
1121,35027000019,33
1122,35027000020,33
1123,35027000021,33
1124,35027000022,33
1125,35027000023,33
1126,35027000024,33
1127,35027000025,33
1128,35027000026,33
1129,35027000027,33
1130,35027000028,33
1131,35028000001,6
1132,35028000002,6
1133,35028000003,6
1134,35028000004,6
1135,35028000005,6
1136,35028000006,6
1137,35028000007,6
1138,35028000008,5
1139,35028000009,5
1140,35028000010,5
1141,35028000011,5
1142,35028000012,5
1143,35028000013,5
1144,35028000014,5
1145,35028000015,5
1146,35028000016,5
1147,35028000017,5
1148,35028000018,5
1149,35028000019,5
1150,35028000020,5
1151,35028000021,5
1152,35029000001,28
1153,35029000002,35
1154,35029000003,35
1155,35029000004,28
1156,35029000005,28
1157,35029000006,28
1158,35029000007,28
1159,35029000008,28
1160,35029000009,28
1161,35029000010,28
1162,35029000011,28
1163,35029000012,28
1164,35029000013,28
1165,35029000014,28
1166,35029000015,28
1167,35029000016,28
1168,35029000017,28
1169,35031000001,4
1170,35031000002,3
1171,35031000003,4
1172,35031000004,4
1173,35031000005,3
1174,35031000006,3
1175,35031000007,3
1176,35031000008,3
1177,35031000009,22
1178,35031000010,22
1179,35031000011,22
1180,35031000012,22
1181,35031000013,22
1182,35031000014,22
1183,35031000015,22
1184,35031000016,22
1185,35031000017,4
1186,35031000018,4
1187,35031000019,4
1188,35031000020,3
1189,35031000021,3
1190,35031000022,4
1191,35031000023,4
1192,35031000024,4
1193,35031000025,4
1194,35031000026,4
1195,35031000027,30
1196,35031000028,4
1197,35031000029,30
1198,35031000030,30
1199,35031000031,3
1200,35031000032,3
1201,35031000033,3
1202,35031000034,3
1203,35031000035,3
1204,35031000036,3
1205,35031000037,3
1206,35031000038,3
1207,35031000039,3
1208,35031000040,3
1209,35031000041,3
1210,35031000042,3
1211,35031000043,3
1212,35031000044,4
1213,35031000045,4
1214,35031000046,4
1215,35031000047,3
1216,35031000048,4
1217,35031000049,3
1218,35031000050,3
1219,35031000051,22
1220,35031000052,4
1221,35031000053,4
1222,35031000054,4
1223,35031000055,4
1224,35031000056,4
1225,35031000057,4
1226,35031000058,3
1227,35031000059,3
1228,35031000060,22
1229,35031000061,22
1230,35031000062,22
1231,35031000063,3
1232,35031000064,4
1233,35031000065,4
1234,35033000001,8
1235,35033000002,8
1236,35033000003,8
1237,35033000004,8
1238,35033000005,8
1239,35033000006,8
1240,35033000007,8
1241,35033000008,8
1242,35033000009,8
1243,35033000010,8
1244,35033000011,8
1245,35035000001,34
1246,35035000002,34
1247,35035000003,34
1248,35035000004,34
1249,35035000005,34
1250,35035000006,34
1251,35035000007,34
1252,35035000008,34
1253,35035000009,34
1254,35035000010,33
1255,35035000011,33
1256,35035000012,33
1257,35035000013,33
1258,35035000014,33
1259,35035000015,34
1260,35035000016,34
1261,35035000017,34
1262,35035000018,34
1263,35035000019,34
1264,35035000020,34
1265,35035000021,34
1266,35035000022,33
1267,35035000023,33
1268,35035000024,33
1269,35035000025,33
1270,35035000026,33
1271,35035000027,33
1272,35035000028,33
1273,35035000029,33
1274,35035000030,33
1275,35035000031,33
1276,35035000032,33
1277,35035000033,33
1278,35035000034,34
1279,35035000035,34
1280,35035000036,34
1281,35035000037,33
1282,35035000038,33
1283,35035000039,33
1284,35035000040,33
1285,35035000041,31
1286,35035000042,31
1287,35035000043,31
1288,35035000044,31
1289,35035000045,31
