,block_vtda,total,nh_black,weighted_blk_sl_dist
1825,2206300004B,562,15,19301.5201425294
1826,2206300005A,1044,27,35423.0239820108
1827,2206300005B,2285,101,77381.84475596188
1828,2206300005C,625,6,21210.360173069726
1829,2206300006A,1567,7,52038.60580130992
1830,2206300006B,1353,8,43335.54518862946
1831,2206300007A,852,55,28955.06422327469
1832,2206300007B,3782,873,128036.57012521222
1833,2206300007C,679,23,23028.504047793973
1834,2206300007D,1417,271,48140.53773354739
1835,2206300008A,2765,162,91515.12924955139
1836,2206300008B,481,1,15316.312954962466
1837,2206300011A,1783,51,46604.91892995663
1838,2206300013A,1095,30,30039.44614850385
1839,2206300013B,1369,108,32367.48842078521
1840,2206300018A,78,1,2547.9237587176945
1841,2206300019A,862,8,26874.55978481411
1842,2206300021A,1364,35,46513.47539308646
1843,2206300023A,2411,559,83177.76500683861
1844,2206300023B,1202,66,41206.26055728346
1845,2206300023C,2763,272,95250.37418387666
1846,2206300024B,2178,55,75112.580586765
1847,2206300024C,3689,451,126134.33399386986
1848,2206300026A,1647,209,56266.8825640914
1849,2206300026B,1662,182,56850.71811184583
1850,2206300026C,1502,55,51181.580073292585
1851,2206300028A,1467,92,50577.72269490142
1852,2206300028B,278,12,9609.83607293511
1853,2206300035A,1465,143,49430.882512984106
1854,2206300036A,1980,76,66796.08555668409
1855,2206300039A,2774,221,94838.10357450972
1856,2206300039B,1076,61,37064.153255970705
1857,2206300040A,2813,232,95455.0849095703
1858,22065000001,412,82,13993.526532689315
1859,22065000002,181,18,6250.668195710133
1860,22065000003,332,21,11372.36576918406
1861,22065000004,241,24,8370.817170621847
1862,22065000005,323,149,11259.61173428297
1863,22065000006,44,6,1527.2646435010142
1864,22065000007,511,129,17832.13681235507
1865,22065000008,554,366,19290.492959433257
1866,22065000009,174,119,6056.40622865357
1867,22065000010,628,361,21854.9136951233
1868,22065000011,199,101,6921.065012621678
1869,22065000012,689,652,24028.39697900852
1870,22065000013,504,427,17532.435819495855
1871,22065000014,346,105,12064.54172988115
1872,22065000015,841,798,29319.95037809103
1873,22065000016,59,53,2056.605956425937
1874,22065000017,553,521,19253.815536923456
1875,22065000018,152,152,5295.5999956251635
1876,22065000019,747,739,26071.43594488558
1877,22065000020,417,407,14568.045469053697
1878,22065000021,319,314,11135.281714253346
1879,22065000022,755,491,26374.100555419423
1880,22065000023,167,6,5815.633742726972
1881,22065000024,25,9,872.0712641708085
1882,22065000025,600,99,20572.106110139914
1883,22065000026,244,24,8290.478222794945
1884,22067000001,1762,1179,57185.25499369535
1885,22067000006,380,101,12336.483732195316
1886,22067000007,1817,1255,58984.8341316151
1887,22067000008,431,88,14049.848023338225
1888,22067000012,588,536,19061.39325650214
1889,22067000013,1203,939,38776.76578722775
1890,22067000014,1390,1301,44932.03045942515
1891,22067000016,746,671,24037.76189819544
1892,22067000020,875,644,28235.107432482226
1893,22067000021,830,430,26529.909581172993
1894,22067000023,524,87,16614.724590179685
1895,22067000024,878,510,28470.236350710133
1896,22067000027,1549,99,49422.0566604135
1897,22067000029,491,188,16060.069447637165
1898,22067000031,1258,715,41008.40266655207
1899,22067000032,274,119,8936.606109163606
1900,22067000035,803,91,26221.549919268833
1901,22067000037,539,168,17566.257164282724
1902,22067000040,775,50,24622.807499747018
1903,22067000042,1249,37,40585.289787582115
1904,22067000045,870,118,27980.048668419964
1905,22067000047,170,99,5548.742498277587
1906,22067000048,239,68,7814.1569076704345
1907,22067000050,834,295,27195.828611409084
1908,22067000053,355,120,11490.22593223225
1909,22067000054,124,7,4011.7245551731985
1910,220670003-1,2445,1313,79407.13669178475
1911,220670026-1,1119,231,36211.43553158203
1912,220670039-1,532,103,17271.27213831525
1913,220670039-2,579,414,18741.585981181503
1914,220690001-1,1221,927,40510.227916657626
1915,220690001-2,2215,983,70975.87394235932
1916,220690001-3,2052,1439,67210.75428927306
1917,220690001-4,3434,2460,113175.23611873414
1918,220690001-5,515,478,17163.66329852878
1919,220690001-6,923,396,30430.79399018044
1920,220690001-7,1416,388,46555.036218428635
1921,220690001-8,822,734,27432.476939466702
1922,220690001-9,814,74,27291.81391412965
1923,220690002-1,194,22,6646.348212191641
1924,220690002-2,202,17,7175.644012837179
1925,220690002-3,428,1,14865.804473233631
1926,220690002-4,413,91,13392.669996587256
1927,220690002-5,483,33,16199.404806186445
1928,220690002-6,652,63,22020.770518713496
1929,220690002-7,355,241,11756.873339714854
1930,220690002-8,887,679,30261.288067150548
1931,220690002-9,1192,105,40891.651424621174
1932,220690003-1,715,13,24340.088894393244
1933,220690003-2,374,62,12880.963201134227
1934,220690003-3,117,7,3974.673259367055
1935,220690003-4,443,160,15178.291680648268
1936,220690003-5,700,34,23343.418430631555
1937,220690003-6,528,5,17752.712198934878
1938,220690003-7,101,73,3459.3432116392014
1939,220690003-8,787,171,26738.92349831218
1940,220690003-9,90,5,2881.916555095742
1941,220690004-1,393,106,12176.14336314606
1942,220690004-2,489,456,15424.129475891525
1943,220690004-3,370,108,10578.110912569691
1944,220690004-4,762,217,20803.82548106991
1945,220690004-5,278,16,8082.4215810733
1946,220690004-6,424,16,11196.287268071435
1947,220690004-7,115,6,3185.1344124147586
1948,220690004-8,285,16,9170.000787086508
1949,220690004-9,1083,314,33430.18227811311
1950,22069001-10,1329,133,44973.337026100926
1951,22069001-11,2186,700,71650.65081339834
1952,22069001-12,934,132,30861.453299308734
1953,22069001-13,1099,939,36484.79998736157
1954,22069001-14,693,599,23198.109397051037
1955,22069001-1A,443,138,14713.314851216377
1956,22069001-3A,216,61,7137.462559361143
1957,22069001-4A,1573,355,52113.57047352531
1958,22069001-5A,554,524,18453.43990399659
1959,22069001-9A,684,97,22932.807694449788
1960,22069002-7A,73,21,2390.803591635799
1961,22069003-10,126,4,4179.0836699943975
1962,2206901-10A,505,117,17187.86949122576
1963,2206901-10B,828,121,27938.421409486757
1964,220710001-1,1397,249,54958.9855571644
1965,220710001-2,529,44,20668.694095260198
1966,220710001-5,947,83,36811.722992708725
1967,220710001-6,891,610,34523.249885692334
1968,220710002-1,1429,191,56124.89100569188
1969,220710002-2,1162,448,45318.105221189326
1970,220710002-4,1675,1536,64743.706378585644
1971,220710002-6,445,381,17041.26145579462
1972,220710002-7,2870,2535,109645.36985698652
1973,220710003-1,3281,534,128407.87361664228
1974,220710003-8,4595,2936,177119.6380660459
1975,220710003-9,1311,333,50709.765019085055
1976,220710004-2,2200,1217,86313.40246429146
1977,220710004-3,1507,797,58796.93585909132
1978,220710004-5,709,219,27559.562611939316
1979,220710004-6,685,257,26557.050523910286
1980,220710004-7,489,51,18922.198249872134
1981,220710004-8,798,65,30804.297902439463
1982,220710004-9,1900,90,73395.97611195972
1983,220710005-1,503,56,19889.951487837458
1984,220710005-2,437,22,17222.65989523778
1985,220710005-3,1039,344,40984.540922259264
1986,220710005-5,979,725,38421.365727275064
1987,220710005-7,1339,1040,52395.15282694961
1988,220710005-8,686,313,26818.009793382276
1989,220710005-9,567,191,22156.16402562898
1990,220710006-1,686,26,27190.213285465772
1991,220710006-2,723,47,28563.878689654965
1992,220710006-4,628,239,24785.579512600973
1993,220710006-6,1262,701,49671.71794836242
1994,220710006-7,747,383,29314.445756962436
1995,220710006-8,648,90,25398.29593673664
1996,220710006-9,781,37,30585.121483521878
1997,220710007-1,794,70,31574.072864014142
1998,220710007-2,769,202,30401.848919604203
1999,220710007-4,579,315,22976.915651830426
2000,220710007-5,1007,590,39805.9494200853
2001,220710007-6,795,472,31392.902374602545
2002,220710007-7,865,737,34200.07929414204
2003,220710007-8,1326,1132,52335.337939575984
2004,220710008-1,657,32,26324.117911220346
2005,220710008-2,678,38,27125.61281402938
2006,220710008-4,488,232,19482.659457761
2007,220710008-6,1004,456,40023.63660423738
2008,220710008-7,571,286,22716.164951578015
2009,220710008-8,842,561,33447.896234966975
2010,220710008-9,1263,980,50042.77967285243
2011,220710009-1,1697,1116,68114.78357746788
2012,220710009-3,1138,958,45517.95678433149
2013,220710009-4,818,661,32805.070909999136
2014,220710009-5,1147,1034,45920.20112450875
2015,220710009-6,1623,1496,64825.224272913605
2016,220710009-7,978,692,39216.431654208456
2017,220710009-8,1074,933,42941.49951558025
2018,220710009-9,581,109,23302.889064153467
2019,220710010-3,1921,1281,75133.6484341561
2020,220710010-6,869,264,33742.45188334782
2021,220710010-7,645,100,25058.245873284195
2022,220710010-8,523,39,20235.011682792676
2023,220710010-9,945,125,36579.7095309984
2024,220710011-2,869,217,33556.60893697502
2025,220710011-3,514,116,19692.52433711734
2026,220710011-4,659,132,25399.044575503434
2027,220710011-5,1001,139,38268.85009483746
2028,220710011-8,614,22,23417.488541274703
2029,220710011-9,1272,53,48927.32387986966
2030,220710012-1,630,121,23908.33989606509
2031,220710012-2,691,192,26111.118976238213
2032,220710012-3,734,209,27611.022817886398
2033,220710012-4,598,103,22401.826580749293
2034,220710012-5,741,45,28031.649356435955
2035,220710012-6,522,32,19603.756748451677
2036,220710012-7,824,88,31023.02062961354
2037,220710012-8,772,172,29050.162894149595
2038,220710012-9,681,204,25752.241477074134
2039,220710013-1,546,160,20335.30256491382
2040,220710013-2,691,164,25437.468056755235
2041,220710013-3,607,82,22607.476725304245
2042,220710013-4,880,86,32535.995521836037
2043,220710013-5,865,139,32231.134954202276
2044,220710013-6,722,86,26510.209754367468
2045,220710013-7,631,50,23525.385726159846
2046,220710013-8,768,43,28388.446233862123
2047,220710013-9,754,68,28152.928995913655
2048,220710014-1,724,35,26353.463535582723
2049,220710014-2,670,69,24267.316813427875
2050,220710014-3,644,18,23210.830863352978
2051,220710014-4,625,82,22591.686139848676
