,block_vtda,total,nh_black,weighted_blk_sl_dist
304,28163000404,308,54,15143.821592199423
305,28163000405,7148,4756,366082.4627131451
306,28163000406,105,17,5364.363465982413
307,28163000501,64,44,3316.7509341773457
308,28163000503,57,19,2948.887843424426
309,28163000504,235,97,12223.509317757525
310,28163000505,227,73,11712.948216266721
311,28163000506,3276,3087,167229.062380572
312,28001000101,1157,227,54218.636351946625
313,28001000102,1679,1146,78964.42431624026
314,28001000103,3082,1048,145092.2046929696
315,28001000201,1393,436,65507.306281381636
316,28001000202,1971,979,92530.23877188317
317,28001000203,1636,643,77174.06563146181
318,28001000204,1196,174,56377.891577997936
319,28001000301,1084,978,50788.588538989985
320,28001000302,847,555,39732.95499216551
321,28001000303,1402,1281,65697.67841342255
322,28001000304,1958,978,92206.07377072072
323,28001000401,2268,2099,106200.79696435248
324,28001000403,887,723,41383.683310819724
325,28001000404,907,567,42486.80177987431
326,28001000405,967,752,45278.60434634971
327,28001000501,1553,1432,72632.5065457842
328,28001000502,1110,728,51770.149897675656
329,28001000503,2286,1279,107124.86015248466
330,28001000504,2145,681,100697.6549320011
331,28003000016,1825,131,50195.648438439755
332,28003000101,3332,96,92139.25087196077
333,28003000102,2026,206,55559.588363273666
334,28003000103,1743,132,47747.50894890354
335,28003000201,3018,129,84155.79553975363
336,28003000202,2004,23,56328.09098774998
337,28003000203,574,0,16020.899695688375
338,28003000204,1229,353,33773.5194243721
339,28003000301,2662,1098,73211.32057241726
340,28003000302,1403,132,38601.13209217573
341,28003000303,1990,165,55444.14317944521
342,28003000401,3320,979,90860.78881390189
343,28003000402,2805,35,76630.99835247415
344,28003000501,1711,214,46822.09960016313
345,28003000502,1957,15,54073.58769870747
346,28003000503,195,16,5317.152451231865
347,28003000504,2946,592,80779.0972984491
348,28005000024,363,47,15961.045214279839
349,28005000101,530,229,23987.739587213557
350,28005000102,942,215,41670.39990229397
351,28005000103,672,113,30633.50994502001
352,28005000104,687,116,31382.393922379182
353,28005000201,537,413,23927.163190571653
354,28005000202,585,371,25746.975687726266
355,28005000203,645,226,28432.909992343764
356,28005000205,538,275,23369.37373555237
357,28005000301,266,131,12393.993038255892
358,28005000302,1023,728,46337.023310129574
359,28005000303,190,43,8833.668461486468
360,28005000304,410,27,18811.279274292963
361,28005000401,749,176,32451.0436738804
362,28005000402,508,152,22371.365380822277
363,28005000403,728,234,32480.992741295366
364,28005000404,821,136,36454.11354883328
365,28005000501,593,268,23558.41174936156
366,28005000502,600,385,26095.010235729158
367,28005000503,405,214,17051.43826847042
368,28005000504,928,336,36903.7798655477
369,28007000101,1717,807,74516.49978065758
370,28007000102,1902,595,81983.51947456558
371,28007000201,420,128,17375.042435475727
372,28007000202,475,112,20075.70140240175
373,28007000203,207,33,8643.148511233694
374,28007000204,2571,1892,110671.25691350237
375,28007000301,423,3,18352.892426548828
376,28007000302,487,52,21174.913303978887
377,28007000303,308,84,13683.670585256841
378,28007000304,495,76,21234.457602801038
379,28007000305,1319,531,57197.79351554401
380,28007000306,569,283,24858.962245144514
381,28007000401,539,297,23979.4586513512
382,28007000402,550,248,25280.87862920029
383,28007000403,1309,865,60208.86693395703
384,28007000404,1136,801,49641.21635592452
385,28007000501,247,29,10342.810365300686
386,28007000502,477,98,19896.087496128963
387,28007000503,473,47,20021.94760622422
388,28007000504,1631,459,70265.76657815957
389,28007000505,634,202,26812.186181784615
390,28009000101,1506,945,43695.2462633608
391,28009000102,1512,778,43042.918874737676
392,28009000103,1613,527,45914.15111452364
393,28009000104,1400,178,39784.16556174436
394,28009000105,1615,226,45637.100140303126
395,28011000101,549,330,24642.669069162625
396,28011000102,399,311,18257.264561709268
397,28011000103,1120,622,50734.69233913234
398,28011000104,592,407,30086.360645906945
399,28011000105,212,99,11692.534660038222
400,28011000106,87,24,4765.282930511507
401,28011000107,1268,1125,57983.43250697546
402,28011000108,461,414,20750.929208109683
403,28011000109,291,238,13344.249365599198
404,28011000110,162,37,8176.085570879071
405,28011000201,637,619,28461.172661539396
406,28011000202,1859,226,82928.44632968388
407,28011000203,1817,320,81469.21597727964
408,28011000204,3302,489,147955.34222605257
409,28011000301,515,339,22515.732633866934
410,28011000302,2161,2006,97007.89962463552
411,28011000303,2126,1935,95739.02025086319
412,28011000401,590,260,26477.227382123685
413,28011000402,2678,2160,119121.47609541687
414,28011000403,1600,1249,71095.66519603731
415,28011000404,453,387,20119.438479213495
416,28011000405,1484,1414,66005.79096327501
417,28011000406,682,121,30418.303245662428
418,28011000501,1675,699,76703.39737769848
419,28011000502,476,56,22445.941048427736
420,28011000503,1840,1544,94223.28171664986
421,28011000504,311,247,16591.27209853758
422,28011000505,1638,1579,73441.9370247811
423,28013000001,838,32,26325.560533953867
424,28013000002,1895,350,63527.63984585917
425,28013000003,1476,230,48221.552188217815
426,28013000004,1025,662,35566.83365990257
427,28013000005,1451,741,52325.61860532805
428,28013000006,1153,213,39112.36146054261
429,28013000007,1842,357,63547.382978212605
430,28013000008,771,138,27187.90032443818
431,28013000009,2093,570,76531.74751719671
432,28013000010,722,151,26134.829770950488
433,28015000101,1378,78,61842.36928853327
434,28015000102,273,34,12580.513666529938
435,28015000103,352,21,16254.162307909588
436,28015000104,640,94,28790.639429978975
437,28015000105,628,199,28295.111896075596
438,28015000106,839,211,37598.33947485815
439,28015000107,685,48,31276.91827021184
440,28015000108,1118,658,50809.449887925126
441,28015000109,839,63,40390.21125851564
442,28015000110,498,159,24582.1177217207
443,28015000111,448,253,21322.905756204575
444,28015000112,312,201,14167.268197083267
445,28015000113,992,480,43241.879544531555
446,28015000114,996,531,43295.79644548042
447,28017000101,1363,359,42046.21279462242
448,28017000102,683,399,20681.420137900812
449,28017000103,685,218,21407.592027736704
450,28017000104,868,413,26223.043300729652
451,28017000105,1467,890,44529.831008897556
452,28017000106,1456,1230,44178.9747107818
453,28017000107,641,343,19674.653955286525
454,28017000108,860,606,26872.62678792129
455,28017000109,2835,627,92745.343733928
456,28017000111,2270,1443,74112.80506938788
457,28017000112,1225,142,40549.24955351867
458,28017000113,1186,208,39808.609447459625
459,28017000114,630,138,20822.993974090474
460,28017000115,425,128,14399.368107343142
461,28017000116,512,263,17783.675138358063
462,28019000001,449,167,18174.425348326982
463,28019000002,506,352,20498.741103961227
464,28019000003,1856,418,73380.87132325124
465,28019000004,608,475,24241.6051103191
466,28019000005,698,195,28237.20575625646
467,28019000006,540,224,21825.94043065577
468,28019000007,659,110,26467.189860849197
469,28019000008,466,14,18908.004959976126
470,28019000009,485,160,19546.78986833189
471,28019000010,401,57,15396.901749910781
472,28019000011,395,31,14723.569810009456
473,28019000012,664,21,23731.271459854102
474,28019000013,519,108,19164.61524811272
475,28021000101,1432,1252,66613.1187499069
476,28021000102,11,11,512.6792639389237
477,28021000103,1248,1228,58135.10210847001
478,28021000201,1049,871,49295.87799237556
479,28021000301,1480,1176,69398.81250108295
480,28021000302,135,82,6348.309394448432
481,28021000401,187,55,8729.027575741298
482,28021000402,1618,1473,75150.8407217358
483,28021000501,1157,1111,53463.34131543261
484,28021000502,818,700,37758.05559704266
485,28023000101,1345,745,42665.69473925324
486,28023000102,486,235,15281.903924023967
487,28023000103,264,90,8297.266680859679
488,28023000104,719,498,23402.7970460922
489,28023000105,126,91,3893.3240624027344
490,28023000202,490,312,15462.800556368302
491,28023000204,491,404,15289.255106768673
492,28023000205,849,663,25652.515944461717
493,28023000206,416,235,12650.448751093381
494,28023000301,2321,374,77937.47112125209
495,28023000303,926,206,30505.620623306422
496,28023000304,594,222,18395.9025713105
497,28023000305,337,52,10786.244181497974
498,28023000401,1128,36,37713.88704978203
499,28023000402,341,19,11212.475983988157
500,28023000403,336,10,11524.589409468981
501,28023000404,275,120,8816.094840145399
502,28023000405,787,211,25065.541509600414
503,28023000406,333,28,10899.777146678893
504,28023000501,214,22,6750.886586538318
505,28023000502,215,119,6736.788298306759
506,28023000503,2151,278,68019.7555330732
507,28023000504,471,133,14705.49302878011
508,28025000101,901,480,27326.41057499631
509,28025000102,2450,1498,76281.53988943991
510,28025000201,980,451,30914.987383298852
511,28025000202,461,258,14922.64586390086
512,28025000203,2352,865,74885.2608953932
513,28025000301,1411,580,45677.2809236409
514,28025000302,2036,1151,64863.034713007335
515,28025000303,547,222,18224.401600523575
516,28025000401,1232,990,39026.70964541316
517,28025000403,2561,1924,80832.06903248408
518,28025000501,2079,1481,66422.20372025642
519,28025000502,259,27,8533.55319707912
520,28025000503,764,383,25912.307967557128
521,28025000504,603,475,20678.585629500303
522,28027000001,477,212,19337.111721502533
523,28027000002,331,309,13534.977081318331
524,28027000003,1372,1091,58027.232028912804
525,28027000004,1178,1141,48331.06385473237
526,28027000005,1632,637,69922.56231043764
527,28027000006,322,227,13851.215954631993
528,28027000008,3506,2413,151149.3687454122
529,28027000009,889,765,38285.36388241841
530,28027000010,262,41,11377.583252726763
531,28027000011,3226,2745,139156.86730539237
532,28027000012,352,142,15234.244151388151
533,28027000013,138,47,6004.397926878778
534,28027000014,3373,3175,145388.39949069996
535,28027000015,392,149,16936.315165806827
536,28027000016,166,34,7207.72737995204
537,28027000017,1599,1533,68901.295719138
538,28027000018,1739,1245,74962.68671432568
539,28027000019,436,303,18787.31085691613
540,28029000101,3027,1572,135848.08938825649
541,28029000103,503,272,22061.252403020393
542,28029000104,2162,1896,96332.92108279814
543,28029000201,724,259,30899.95120016782
544,28029000202,818,34,35863.948092337545
545,28029000203,1817,372,82240.57588297676
546,28029000204,1146,215,51455.00543030145
547,28029000205,748,170,33147.204792947705
548,28029000206,579,331,25807.661035392866
549,28029000301,1046,517,47042.30953836096
550,28029000302,1488,507,68766.72794777185
551,28029000303,2188,1551,97646.43401332312
552,28029000304,394,314,17559.329047535437
553,28029000401,693,581,32122.798291396266
554,28029000402,368,111,16885.048039625413
555,28029000403,3538,2333,159083.79209816048
556,28029000404,872,594,39220.98406395124
557,28029000501,4479,1835,200701.3653215041
558,28029000502,1778,800,80228.48328694668
559,28031000001,3684,410,120968.27601237243
560,28031000002,274,74,9604.03668606264
561,28031000004,1389,45,43376.96697606304
562,28031000005,1699,71,50831.71091555432
563,28031000006,817,127,27190.9712552928
564,28031000007,2938,1379,101547.06142143704
565,28031000008,518,162,18100.007219142593
566,28031000009,642,481,23575.346189108484
567,28031000010,503,176,18180.17959218721
568,28031000011,2119,1086,82110.51734318654
569,28031000012,237,45,8823.30569434287
570,28031000013,1223,749,44134.73712175838
571,28031000014,291,26,9433.702430884374
572,28031000015,1155,930,39871.396089236136
573,28031000016,851,623,28889.042925284273
574,28033000101,2489,370,77034.39047883019
575,28033000102,950,52,29615.890642620532
576,28033000103,4172,1084,127701.84539135928
577,28033000104,4504,1837,139467.04548985392
578,28033000105,6130,1217,190118.7313411195
579,28033000106,5333,2016,165196.5350702902
580,28033000107,5503,1677,169907.66456720393
581,28033000108,2203,728,68709.64683517197
582,28033000109,4327,1968,133769.80703435375
583,28033000110,3611,1316,110348.05035876343
584,28033000201,5806,2296,182747.62820172997
585,28033000202,6120,2838,196310.87021220868
586,28033000203,5868,1745,189437.18331813614
587,28033000204,7654,2261,246647.51076252025
588,28033000205,4368,1002,139547.56345688007
589,28033000206,6269,1091,201108.2312388492
590,28033000207,4140,1373,133862.60491901837
591,28033000301,2443,658,79254.93357502349
592,28033000302,5335,2443,173916.2808962524
593,28033000303,4903,2323,163406.36067742173
594,28033000304,4677,2229,153859.15788052854
595,28033000305,6031,2335,204233.55352257114
596,28033000306,1166,245,40348.23491551772
597,28033000307,5585,3115,184032.28700622468
598,28033000401,3072,1947,99325.69806600908
599,28033000402,4691,2561,153158.580002319
600,28033000403,4189,1205,137918.64709363825
601,28033000404,7597,3179,246741.4384381576
602,28033000405,2956,425,99290.9047412021
603,28033000406,2935,274,103617.2176801985
604,28033000408,3517,1671,115615.44892860134
605,28033000501,5628,1295,181539.4533803627
606,28033000502,4515,1175,146155.1259237706
607,28033000503,3956,377,127134.54720417618
608,28033000505,6804,1210,214895.8704197387
609,28033000506,7378,399,243590.31230777415
610,28033000507,6761,1138,228918.2110240509
611,28033000508,2421,186,83441.10048838975
612,28033000509,2177,83,69277.72995820425
613,28033000510,5517,520,184426.71197321563
614,28033000511,1613,108,52258.395106844866
615,28035000101,1780,259,45669.84491463395
616,28035000102,4786,2620,125187.47044836522
617,28035000103,2222,650,57413.8084569907
618,28035000104,2257,946,58695.60657975757
619,28035000107,2658,157,66417.08495564728
620,28035000108,1007,236,25850.30215630744
621,28035000109,1179,39,28142.359691378882
622,28035000110,929,173,23901.171764300685
623,28035000201,2226,966,62826.91056973886
624,28035000202,1303,251,36583.15787282398
625,28035000203,2149,1243,57687.219559557394
626,28035000204,909,595,23272.59866567534
627,28035000205,2040,1459,52285.06898251561
628,28035000206,770,649,19711.970736961583
629,28035000207,1791,625,49229.3310760956
630,28035000301,4414,391,112996.11333131604
631,28035000302,2454,268,63373.572811723476
632,28035000303,2505,219,64162.3064161641
633,28035000304,4605,357,117016.4826145244
634,28035000305,3421,512,87115.21364082635
635,28035000306,1891,473,48051.178621403786
636,28035000402,827,87,19856.65253788055
637,28035000404,5268,4468,135885.83364232306
638,28035000405,1847,1030,47354.986629484636
639,28035000406,1450,1327,37270.54016873193
640,28035000408,1873,493,47944.63625728638
641,28035000409,2498,1631,63688.25644824511
642,28035000501,1203,28,27172.098171481994
643,28035000502,1499,20,33504.53918951853
644,28035000503,413,48,9119.494998132019
645,28035000504,4261,1922,114764.9861266502
646,28035000505,2706,1900,71644.5684185569
647,28035000506,3998,1664,107067.164780112
648,28035000507,3019,445,79279.37506904479
649,28037000101,235,83,11067.169514346788
650,28037000102,752,468,35436.820222874965
651,28037000103,435,316,20482.969586044248
652,28037000201,218,20,10257.917086299967
653,28037000202,646,314,30428.086283558867
654,28037000203,768,166,36126.77052429317
655,28037000301,154,93,7225.829576782882
656,28037000302,1187,648,55734.25921850556
657,28037000401,700,93,32893.34593069145
658,28037000403,679,148,31891.834863091302
659,28037000404,255,28,11984.40658839667
660,28037000501,776,85,36092.680930417715
661,28037000502,471,39,21996.922936403327
662,28037000503,399,62,18648.709224724535
663,28039000101,2599,21,60060.06576871042
664,28039000102,846,34,19422.42184358508
665,28039000103,605,3,13800.74248565483
666,28039000104,529,21,12113.325612783627
667,28039000201,445,19,10145.83278144603
668,28039000202,1033,17,23639.711370356155
669,28039000203,1860,35,42558.448571454115
670,28039000204,1010,7,23136.433531335366
671,28039000205,913,6,20763.02556972163
672,28039000301,366,18,8364.415453802832
673,28039000302,676,14,15350.738571036953
674,28039000303,2436,298,55233.2481406164
675,28039000304,1677,81,38037.73670032416
676,28039000401,1837,171,42012.456686635436
677,28039000402,1151,161,26266.813537167644
678,28039000403,1549,12,35266.92121565294
679,28039000404,210,32,4760.618752426941
680,28039000501,1665,581,37937.95727405706
681,28039000502,643,31,14668.987519692004
682,28039000503,578,12,13175.309774379984
683,28039000504,1308,198,29532.29157300014
684,28039000505,414,2,9339.190573426891
685,28041000101,5056,1860,125102.71540312434
686,28041000201,541,246,13434.864674166194
687,28041000202,1134,580,31198.09079804584
688,28041000302,369,4,10045.015817091637
689,28041000303,748,5,20736.90347498806
690,28041000304,911,13,24076.234587025596
691,28041000402,1057,62,24940.023312429537
692,28041000403,1182,55,28040.454412910654
693,28041000501,481,17,12390.17797689986
694,28041000502,678,10,16965.995650071538
695,28041000503,183,33,4223.161345954416
696,28041000504,620,249,14951.316970623095
697,28041000505,570,9,14230.161436371789
698,28043000102,2648,1009,118037.07317925122
699,28043000103,1131,192,50161.417172301524
700,28043000104,644,151,29415.584188895325
